Navn,Parti,Totalt,Tilstede,Tilstede(%)
"Hovda, Audun Hammer",Sosialistisk Venstreparti,14,14,100
"Lossius, Jorunn Gleditsch",Kristelig Folkeparti,14,14,100
"Byrknes, Astrid Aarhus",Kristelig Folkeparti,6,6,100
"Haabeth, Arne Olav",Miljøpartiet De Grønne,94,94,100
"Davidsen, Anette Kristine",Arbeiderpartiet,75,75,100
"Gustavsen, Liv",Fremskrittspartiet,36,36,100
"Hallem, Tomas Iver",Senterpartiet,3,3,100
"Rafaelsen, Sigurd Kvammen",Arbeiderpartiet,104,104,100
"Aas, Johan",Fremskrittspartiet,235,235,100
"Ilsøy, Sigrid Simensen",Senterpartiet,317,317,100
"Gimse, Guro Angell",Høyre,39,39,100
"Schäffer, Emilie",Høyre,1,1,100
"Ystebø, Joel",Kristelig Folkeparti,1,1,100
"Lind, Emma Georgina",Venstre,39,39,100
"Karlsen, Tom Einar",Arbeiderpartiet,1,1,100
"Vestenfor, Solveig",Arbeiderpartiet,39,39,100
"Elverum, Dorthea",Senterpartiet,3,3,100
"Horrigmo, Aase Marthe J.",Høyre,1,1,100
"Øyan, Jon Reidar",Arbeiderpartiet,302,302,100
"Ballestad, Trond",Senterpartiet,5,5,100
"Skillingstad, Guro Holm",Venstre,302,302,100
"Sæle, Lise-May",Høyre,39,39,100
"Thoresen-Vestre, Kim",Sosialistisk Venstreparti,39,39,100
"Waagen, Ingrid",Senterpartiet,5,5,100
"Rønaasen, Ole Mathias",Senterpartiet,302,302,100
"Heien, Åse Kristina",Sosialistisk Venstreparti,1,1,100
"Martini, Ole-Ansger Nepomuk",Venstre,66,66,100
